year,SSS,SST,SSH,CHL,MLD,xCO2,lat,lon,fCO2,DeltaCO2
2001.0,33.8244375,-0.8123125000000004,-1.297375,0.39553433656692505,15.281343957795524,367.3862914185505,-66.5,142.5,319.5719299316406,-47.814361486909895
2001.0,33.79371428571428,-0.8253571428571431,-1.2783125,0.3653941452503204,15.439311184894953,367.3699095826132,-66.5,143.5,313.1831359863281,-54.186773596285036
2001.0,33.8005,-0.9565714285714292,-1.2556875,0.3324756324291229,16.350090997834357,367.356882346776,-66.5,144.5,307.8721618652344,-59.484720481541615
2001.0,33.8059375,-0.9470625000000006,-1.2523125,0.3116509914398193,16.354685533174905,367.3573858868151,-66.5,145.5,303.7760925292969,-63.58129335751824
2001.0,33.81337499999999,-0.7701875000000002,-1.2460625,0.36840295791625977,18.278710523920672,367.34820833962715,-66.5,146.5,289.0010070800781,-78.34720125954908
2001.0,33.80925,-0.6555625000000009,-1.239,0.4427563548088074,17.526184158940467,367.33727083962725,-66.5,147.5,289.52532958984375,-77.8119412497835
2001.0,33.762625,-0.10537500000000066,-1.29175,0.2329203486442566,14.033523805679813,367.3346556894947,-65.5,142.5,326.1347961425781,-41.19985954691657
2001.0,33.7625625,-0.04187500000000033,-1.2656875,0.2484689801931381,14.415035402582538,367.32730539518883,-65.5,143.5,336.9562072753906,-30.371098119798035
2001.0,33.760375,-0.17812500000000075,-1.254375,0.2194671481847763,14.751672480375536,367.32950266081366,-65.5,144.5,352.7446594238281,-14.584843236985536
2001.0,33.754375,-0.2896875000000005,-1.253,0.2050185352563858,14.808054460633187,367.33000620085267,-65.5,145.5,338.4247131347656,-28.90529306608704
2001.0,33.7483125,-0.5564375000000004,-1.2485625000000002,0.2268120497465133,14.523258298635485,367.3288160153058,-65.5,146.5,313.94891357421875,-53.379902441087104
2001.0,33.728,-0.8119375000000009,-1.24775,0.21732082962989807,14.733736064164868,367.32261681096463,-65.5,147.5,335.6420593261719,-31.68055748479276
2001.0,33.703625,-0.9826875000000002,-1.2486875,0.22752878069877625,15.310313876598112,367.3116793109647,-65.5,148.5,315.3168640136719,-51.994815297292796
2001.0,33.662125,-1.2162500000000005,-1.25575,0.23338139057159424,16.824123641175607,367.3007418109647,-65.5,149.5,373.904541015625,6.603799204660278
2001.0,33.7290625,0.8914374999999994,-1.2116250000000002,0.17474745213985446,23.89119971086902,367.30212297485116,-64.5,144.5,365.9826049804688,-1.3195179943824655
2001.0,33.729125,0.9748125,-1.2099375,0.19723086059093475,25.01989995664166,367.3026265148904,-64.5,145.5,362.1390686035156,-5.163557911374767
2001.0,33.72875,1.0031249999999994,-1.2112500000000002,0.22466962039470675,23.15217674451489,367.3014363293435,-64.5,146.5,350.5461120605469,-16.755324268796638
2001.0,33.732187499999995,1.15725,-1.147375,0.20419412851333613,26.336485351285624,367.2740566433812,-63.5,146.5,357.7408142089844,-9.533242434396813
2001.0,33.7356875,1.1367499999999997,-1.15,0.2468403726816177,26.715978253272272,367.2728664578343,-63.5,147.5,363.5661315917969,-3.706734866037437
2001.0,33.7664375,1.5167499999999987,-1.0629375,0.15648208558559418,28.051543470351923,367.27080027849036,-62.5,147.5,375.3042907714844,8.03349049299402
2001.0,33.7636875,1.3037499999999995,-1.131,0.1872357279062271,27.22928021031041,367.2696100929435,-62.5,148.5,369.3780212402344,2.1084111472908944
2001.0,33.755875,1.2238124999999993,-1.1540625,0.17793306708335874,26.74086086980759,367.2699514691195,-62.5,149.5,375.9670715332031,8.697120064083606
2001.0,33.7953125,1.7569999999999997,-1.1035,0.11883363127708435,28.39935085465831,367.2841433261332,-61.5,149.5,380.21673583984375,12.932592513710576
2001.0,33.816125,1.9326875,-1.0679375000000002,0.18506914377212524,29.398109339898628,367.29833518314683,-60.5,149.5,375.0610046386719,7.762669455525043
2001.0,33.8216875,1.8125,-1.165,0.18329288065433505,28.79325719033518,367.3125270401604,-59.5,149.5,374.28076171875,6.968234678589624
2001.0,33.8135,1.8200625,-1.0924999999999998,0.13220825791358948,32.59913457978156,367.3273200920406,-58.5,148.5,384.0963439941406,16.769023902100002
2001.0,33.822875,1.9599999999999995,-1.1915,0.18419548869133,31.49774995926888,367.3299323967281,-58.5,149.5,381.10040283203125,13.770470435303139
2001.0,33.8479375,1.4454374999999997,-0.93875,0.1580377072095871,45.474971736631076,367.2411241968205,-57.5,63.5,352.70001220703125,-14.541111989789275
2001.0,33.818875,1.845625,-1.095625,0.1301664412021637,34.089257397959315,367.3452411961528,-57.5,148.5,380.9683227539063,13.623081557753437
2001.0,33.935125,5.428374999999999,-0.468875,0.18066056072711945,30.00401445742576,367.30578012442834,-57.5,-61.5,362.4857177734375,-4.820062350990838
2001.0,33.860687500000004,2.1220625,-0.8187500000000001,0.2381022572517395,55.218155203327065,367.2724164048455,-56.5,63.5,353.3624267578125,-13.909989647033
2001.0,33.86150000000001,2.2870625,-0.7958125,0.26460278034210205,58.26122131655293,367.275077537658,-56.5,64.5,339.1400146484375,-28.13506288922048
2001.0,33.833375000000004,2.5566249999999995,-0.9675625,0.18596774339675906,41.994581683989495,367.3626939425168,-56.5,148.5,384.30474853515625,16.942054592639465
2001.0,33.9665625,6.16075,-0.26625,0.1635439395904541,28.17762682899352,367.28809909151744,-56.5,-62.5,356.99444580078125,-10.293653290736188
2001.0,33.965875,6.2506249999999985,-0.30725,0.17138797044754028,27.60100049741807,367.28948458956427,-56.5,-61.5,365.8500061035156,-1.4394784860486425
